1 0 FT924-655 1  22.968359 STANDARD
1 0 FT911-5177 1  12.729936 STANDARD
1 0 FT931-16794 1  12.729587 STANDARD
1 0 FT943-11261 1  12.727289 STANDARD
1 0 FT943-14087 1  12.725849 STANDARD
1 0 FT911-721 1  12.719358 STANDARD
1 0 FT932-1976 1  12.718002 STANDARD
1 0 FT943-4660 1  12.707424 STANDARD
1 0 FT932-2023 1  12.6996 STANDARD
1 0 FT922-1578 1  12.693551 STANDARD
1 0 FT924-14666 1  12.693152 STANDARD
1 0 FT931-15369 1  12.690541 STANDARD
1 0 FT934-12470 1  12.683741 STANDARD
1 0 FT911-3404 1  12.683282 STANDARD
1 0 FT941-7558 1  12.679962 STANDARD
1 0 FT933-3876 1  12.678584 STANDARD
1 0 FT923-1695 1  12.678559 STANDARD
1 0 FT944-11070 1  12.677662 STANDARD
1 0 FT931-10513 1  12.676021 STANDARD
1 0 FT942-14915 1  12.675213 STANDARD
1 0 FT942-14993 1  12.669988 STANDARD
1 0 FT943-4623 1  12.667883 STANDARD
1 0 FT932-2690 1  12.66652 STANDARD
1 0 FT924-8727 1  12.654252 STANDARD
1 0 FT931-8544 1  12.653263 STANDARD
1 0 FT911-3495 1  12.650654 STANDARD
1 0 FT931-1512 1  12.650148 STANDARD
1 0 FT942-2610 1  12.645784 STANDARD
1 0 FT933-16063 1  12.640326 STANDARD
1 0 FT941-8228 1  12.640278 STANDARD
1 0 FT924-11236 1  12.636899 STANDARD
1 0 FT922-8383 1  12.636258 STANDARD
1 0 FT922-2699 1  12.634863 STANDARD
1 0 FT942-8235 1  12.6343355 STANDARD
1 0 FT944-14050 1  12.633423 STANDARD
1 0 FT923-10435 1  12.629581 STANDARD
1 0 FT941-5518 1  12.62659 STANDARD
1 0 FT922-3161 1  12.625806 STANDARD
1 0 FT921-9772 1  12.6233425 STANDARD
1 0 FT941-15371 1  12.619919 STANDARD
1 0 FT933-566 1  12.619911 STANDARD
1 0 FT944-10772 1  12.619472 STANDARD
1 0 FT932-1019 1  12.616067 STANDARD
1 0 FT944-6682 1  12.613704 STANDARD
1 0 FT931-16872 1  12.613482 STANDARD
1 0 FT941-8714 1  12.60442 STANDARD
1 0 FT943-14614 1  12.603573 STANDARD
1 0 FT931-2236 1  12.600534 STANDARD
1 0 FT943-3972 1  12.594231 STANDARD
1 0 FT922-7068 1  12.589758 STANDARD
1 0 FT924-10442 1  12.588921 STANDARD
1 0 FT924-6217 1  12.5870695 STANDARD
1 0 FT944-11090 1  12.5868435 STANDARD
1 0 FT923-14636 1  12.583267 STANDARD
1 0 FT921-3582 1  12.58229 STANDARD
1 0 FT922-1015 1  12.581752 STANDARD
1 0 FT921-14305 1  12.57866 STANDARD
1 0 FT942-5800 1  12.574868 STANDARD
1 0 FT923-3739 1  12.574343 STANDARD
1 0 FT941-4506 1  12.568677 STANDARD
1 0 FT921-5784 1  12.563203 STANDARD
1 0 FT943-2520 1  12.5612135 STANDARD
1 0 FT942-7624 1  12.559544 STANDARD
1 0 FT924-15118 1  12.55948 STANDARD
1 0 FT921-10605 1  12.556885 STANDARD
1 0 FT941-3311 1  12.550823 STANDARD
1 0 FT934-207 1  12.549645 STANDARD
1 0 FT932-3953 1  12.549529 STANDARD
1 0 FT924-1963 1  12.549529 STANDARD
1 0 FT924-4615 1  12.546905 STANDARD
1 0 FT921-2535 1  12.543799 STANDARD
1 0 FT923-12651 1  12.543493 STANDARD
1 0 FT921-8452 1  12.542792 STANDARD
1 0 FT932-1825 1  12.541353 STANDARD
1 0 FT932-11530 1  12.541081 STANDARD
1 0 FT921-13324 1  12.540893 STANDARD
1 0 FT933-2647 1  12.539166 STANDARD
1 0 FT932-5455 1  12.535975 STANDARD
1 0 FT922-2749 1  12.534281 STANDARD
1 0 FT922-15511 1  12.5338125 STANDARD
1 0 FT934-4864 1  12.532994 STANDARD
1 0 FT934-3353 1  12.532655 STANDARD
1 0 FT943-14463 1  12.532216 STANDARD
1 0 FT932-6268 1  12.532104 STANDARD
1 0 FT923-7653 1  12.529381 STANDARD
1 0 FT942-3446 1  12.52767 STANDARD
1 0 FT932-15332 1  12.526879 STANDARD
1 0 FT932-5154 1  12.525601 STANDARD
1 0 FT944-9456 1  12.525236 STANDARD
1 0 FT923-12163 1  12.524217 STANDARD
1 0 FT922-1639 1  12.523778 STANDARD
1 0 FT931-2696 1  12.521896 STANDARD
1 0 FT931-272 1  12.520239 STANDARD
1 0 FT934-17338 1  12.51967 STANDARD
1 0 FT932-12250 1  12.517618 STANDARD
1 0 FT911-504 1  12.5154915 STANDARD
1 0 FT931-7013 1  12.512579 STANDARD
1 0 FT924-15222 1  12.507493 STANDARD
1 0 FT921-1750 1  12.507309 STANDARD
1 0 FT934-7856 1  12.503895 STANDARD
1 0 FT944-508 1  12.502326 STANDARD
1 0 FT922-3601 1  12.502294 STANDARD
1 0 FT942-15201 1  12.500847 STANDARD
1 0 FT931-10786 1  12.500713 STANDARD
1 0 FT924-11391 1  12.498742 STANDARD
1 0 FT942-294 1  12.497363 STANDARD
1 0 FT943-15096 1  12.4960375 STANDARD
1 0 FT934-9441 1  12.491412 STANDARD
1 0 FT923-14515 1  12.488665 STANDARD
1 0 FT931-14385 1  12.487372 STANDARD
1 0 FT931-3349 1  12.479531 STANDARD
1 0 FT921-12578 1  12.478934 STANDARD
1 0 FT941-6128 1  12.478771 STANDARD
1 0 FT933-1951 1  12.478015 STANDARD
1 0 FT934-10645 1  12.47601 STANDARD
1 0 FT942-16651 1  12.475804 STANDARD
1 0 FT931-12105 1  12.474965 STANDARD
1 0 FT924-102 1  12.470364 STANDARD
1 0 FT924-14318 1  12.468337 STANDARD
1 0 FT923-5351 1  12.466327 STANDARD
1 0 FT942-5797 1  12.46324 STANDARD
1 0 FT932-2357 1  12.462434 STANDARD
1 0 FT931-9915 1  12.460403 STANDARD
1 0 FT924-8417 1  12.460184 STANDARD
1 0 FT944-16979 1  12.455649 STANDARD
1 0 FT922-3517 1  12.454021 STANDARD
1 0 FT924-8520 1  12.452053 STANDARD
1 0 FT922-12120 1  12.449 STANDARD
1 0 FT923-5394 1  12.446331 STANDARD
1 0 FT933-9381 1  12.445843 STANDARD
1 0 FT933-417 1  12.443986 STANDARD
1 0 FT924-328 1  12.443012 STANDARD
1 0 FT944-13669 1  12.440252 STANDARD
1 0 FT923-13619 1  12.438177 STANDARD
1 0 FT942-15886 1  12.437226 STANDARD
1 0 FT931-16882 1  12.437109 STANDARD
1 0 FT934-15187 1  12.437105 STANDARD
1 0 FT921-13103 1  12.431679 STANDARD
1 0 FT932-6272 1  12.430975 STANDARD
1 0 FT944-1996 1  12.429886 STANDARD
1 0 FT944-2209 1  12.429886 STANDARD
1 0 FT933-4335 1  12.427316 STANDARD
1 0 FT924-15115 1  12.427017 STANDARD
1 0 FT943-4396 1  12.422639 STANDARD
1 0 FT932-399 1  12.4224415 STANDARD
1 0 FT932-2772 1  12.42159 STANDARD
1 0 FT931-3487 1  12.421146 STANDARD
1 0 FT911-3656 1  12.418245 STANDARD
1 0 FT922-5760 1  12.417356 STANDARD
1 0 FT944-15160 1  12.41541 STANDARD
1 0 FT924-4923 1  12.410936 STANDARD
1 0 FT934-11229 1  12.410343 STANDARD
1 0 FT942-7247 1  12.406843 STANDARD
1 0 FT934-12733 1  12.404387 STANDARD
1 0 FT941-12775 1  12.403711 STANDARD
1 0 FT944-4243 1  12.40324 STANDARD
1 0 FT944-11240 1  12.403101 STANDARD
1 0 FT934-3773 1  12.400462 STANDARD
1 0 FT921-16134 1  12.399053 STANDARD
1 0 FT944-12946 1  12.3972845 STANDARD
1 0 FT924-14038 1  12.393225 STANDARD
1 0 FT921-1846 1  12.392905 STANDARD
1 0 FT941-15999 1  12.387897 STANDARD
1 0 FT922-11330 1  12.387689 STANDARD
1 0 FT932-3203 1  12.387008 STANDARD
1 0 FT932-14130 1  12.386109 STANDARD
1 0 FT922-998 1  12.378424 STANDARD
1 0 FT932-13487 1  12.377569 STANDARD
1 0 FT931-4951 1  12.376923 STANDARD
1 0 FT921-1610 1  12.372652 STANDARD
1 0 FT941-7396 1  12.371379 STANDARD
1 0 FT931-11306 1  12.370702 STANDARD
1 0 FT933-9441 1  12.369755 STANDARD
1 0 FT943-6595 1  12.364381 STANDARD
1 0 FT942-7608 1  12.361398 STANDARD
1 0 FT922-11813 1  12.360751 STANDARD
1 0 FT921-7960 1  12.360443 STANDARD
1 0 FT934-16021 1  12.357082 STANDARD
1 0 FT924-8692 1  12.355721 STANDARD
1 0 FT924-7858 1  12.35492 STANDARD
1 0 FT943-5168 1  12.354267 STANDARD
1 0 FT931-16768 1  12.351876 STANDARD
1 0 FT933-15277 1  12.349856 STANDARD
1 0 FT922-7061 1  12.349147 STANDARD
1 0 FT943-796 1  12.346712 STANDARD
1 0 FT942-5361 1  12.33703 STANDARD
1 0 FT934-16580 1  12.335907 STANDARD
1 0 FT943-15342 1  12.332773 STANDARD
1 0 FT934-11848 1  12.331641 STANDARD
1 0 FT923-5403 1  12.331186 STANDARD
1 0 FT923-8631 1  12.331165 STANDARD
1 0 FT943-660 1  12.322814 STANDARD
1 0 FT924-10606 1  12.321703 STANDARD
1 0 FT922-5193 1  12.321543 STANDARD
1 0 FT934-8422 1  12.32073 STANDARD
1 0 FT944-10962 1  12.319421 STANDARD
1 0 FT942-6847 1  12.31793 STANDARD
1 0 FT931-3041 1  12.317205 STANDARD
1 0 FT922-4858 1  12.314754 STANDARD
1 0 FT943-3834 1  12.31384 STANDARD
1 0 FT942-9534 1  12.3132515 STANDARD
1 0 FT922-13996 1  12.312249 STANDARD
1 0 FT924-14419 1  12.312013 STANDARD
1 0 FT941-15818 1  12.311666 STANDARD
1 0 FT924-15324 1  12.311238 STANDARD
1 0 FT944-3484 1  12.3108015 STANDARD
1 0 FT941-2701 1  12.308239 STANDARD
1 0 FT941-16959 1  12.307275 STANDARD
1 0 FT941-8388 1  12.306566 STANDARD
1 0 FT933-4827 1  12.305244 STANDARD
1 0 FT923-1522 1  12.3048 STANDARD
1 0 FT943-9860 1  12.303132 STANDARD
1 0 FT941-11864 1  12.2972145 STANDARD
1 0 FT944-11 1  12.296909 STANDARD
1 0 FT943-4011 1  12.294252 STANDARD
1 0 FT934-6456 1  12.2926655 STANDARD
1 0 FT943-7608 1  12.288245 STANDARD
1 0 FT944-11208 1  12.28813 STANDARD
1 0 FT922-2819 1  12.287119 STANDARD
1 0 FT922-10663 1  12.285013 STANDARD
1 0 FT922-10454 1  12.277463 STANDARD
1 0 FT944-1988 1  12.276601 STANDARD
1 0 FT944-2199 1  12.276601 STANDARD
1 0 FT934-5271 1  12.27491 STANDARD
1 0 FT933-2185 1  12.27465 STANDARD
1 0 FT941-9966 1  12.272021 STANDARD
1 0 FT941-4240 1  12.271519 STANDARD
1 0 FT933-16022 1  12.267854 STANDARD
1 0 FT923-2587 1  12.2675085 STANDARD
1 0 FT941-16719 1  12.267039 STANDARD
1 0 FT934-8143 1  12.2661495 STANDARD
1 0 FT922-11379 1  12.26342 STANDARD
1 0 FT942-1675 1  12.262849 STANDARD
1 0 FT934-2865 1  12.260962 STANDARD
1 0 FT931-16615 1  12.260692 STANDARD
1 0 FT923-13929 1  12.257251 STANDARD
1 0 FT921-16136 1  12.254043 STANDARD
1 0 FT932-7306 1  12.252438 STANDARD
1 0 FT911-3439 1  12.250314 STANDARD
1 0 FT931-997 1  12.242142 STANDARD
1 0 FT932-6547 1  12.242111 STANDARD
1 0 FT922-12242 1  12.241775 STANDARD
1 0 FT934-15044 1  12.240967 STANDARD
1 0 FT934-5581 1  12.240732 STANDARD
1 0 FT923-8774 1  12.238858 STANDARD
1 0 FT922-5941 1  12.238001 STANDARD
1 0 FT943-1228 1  12.237797 STANDARD
1 0 FT941-2275 1  12.236896 STANDARD
1 0 FT923-10092 1  12.235339 STANDARD
1 0 FT933-10919 1  12.230207 STANDARD
1 0 FT924-5975 1  12.226525 STANDARD
1 0 FT924-13031 1  12.226222 STANDARD
1 0 FT944-8635 1  12.221936 STANDARD
1 0 FT942-11534 1  12.215225 STANDARD
1 0 FT924-5985 1  12.215133 STANDARD
1 0 FT923-11189 1  12.215039 STANDARD
1 0 FT942-6361 1  12.214269 STANDARD
1 0 FT944-9678 1  12.213213 STANDARD
1 0 FT924-7855 1  12.211758 STANDARD
1 0 FT924-8670 1  12.211274 STANDARD
1 0 FT944-17982 1  12.210937 STANDARD
1 0 FT932-12256 1  12.210153 STANDARD
1 0 FT942-11401 1  12.209992 STANDARD
1 0 FT922-7594 1  12.208507 STANDARD
1 0 FT942-5942 1  12.205534 STANDARD
1 0 FT942-12735 1  12.204075 STANDARD
1 0 FT942-1030 1  12.203737 STANDARD
1 0 FT932-9575 1  12.196549 STANDARD
1 0 FT941-11652 1  12.196125 STANDARD
1 0 FT941-16218 1  12.195742 STANDARD
1 0 FT941-11941 1  12.195 STANDARD
1 0 FT941-15142 1  12.193017 STANDARD
1 0 FT943-7288 1  12.19296 STANDARD
1 0 FT944-6574 1  12.192019 STANDARD
1 0 FT932-12035 1  12.190555 STANDARD
1 0 FT941-3932 1  12.188462 STANDARD
1 0 FT933-563 1  12.186565 STANDARD
1 0 FT933-15378 1  12.184804 STANDARD
1 0 FT932-3109 1  12.184759 STANDARD
1 0 FT941-15940 1  12.1840925 STANDARD
1 0 FT923-14787 1  12.183975 STANDARD
1 0 FT932-9890 1  12.180559 STANDARD
1 0 FT942-1186 1  12.180064 STANDARD
1 0 FT941-2134 1  12.174966 STANDARD
1 0 FT941-3097 1  12.170326 STANDARD
1 0 FT943-13627 1  12.168388 STANDARD
1 0 FT931-10917 1  12.16768 STANDARD
1 0 FT941-1648 1  12.162641 STANDARD
1 0 FT924-9776 1  12.161295 STANDARD
1 0 FT934-11312 1  12.160729 STANDARD
1 0 FT933-13479 1  12.156056 STANDARD
1 0 FT924-12276 1  12.155239 STANDARD
1 0 FT941-12478 1  12.152367 STANDARD
1 0 FT934-7747 1  12.152345 STANDARD
1 0 FT911-2618 1  12.150747 STANDARD
1 0 FT933-16460 1  12.146819 STANDARD
1 0 FT923-5641 1  12.141176 STANDARD
1 0 FT932-9087 1  12.138898 STANDARD
1 0 FT921-3152 1  12.137527 STANDARD
1 0 FT922-3401 1  12.13735 STANDARD
1 0 FT941-10271 1  12.134991 STANDARD
1 0 FT923-1627 1  12.133379 STANDARD
1 0 FT941-3569 1  12.131104 STANDARD
1 0 FT924-15799 1  12.130003 STANDARD
1 0 FT943-1340 1  12.129016 STANDARD
1 0 FT923-9007 1  12.128583 STANDARD
1 0 FT921-13797 1  12.128174 STANDARD
1 0 FT932-2111 1  12.126463 STANDARD
1 0 FT944-13337 1  12.125612 STANDARD
1 0 FT933-6965 1  12.124512 STANDARD
1 0 FT934-5265 1  12.1242895 STANDARD
1 0 FT924-12775 1  12.123449 STANDARD
1 0 FT923-4365 1  12.122674 STANDARD
1 0 FT942-569 1  12.122071 STANDARD
1 0 FT922-9726 1  12.121754 STANDARD
1 0 FT934-13518 1  12.118644 STANDARD
1 0 FT942-3987 1  12.118256 STANDARD
1 0 FT943-8723 1  12.117453 STANDARD
1 0 FT933-14890 1  12.116495 STANDARD
1 0 FT933-7267 1  12.112728 STANDARD
1 0 FT933-14889 1  12.112591 STANDARD
1 0 FT932-15352 1  12.110562 STANDARD
1 0 FT932-8943 1  12.107132 STANDARD
1 0 FT932-16474 1  12.105523 STANDARD
1 0 FT922-14758 1  12.10544 STANDARD
1 0 FT922-10671 1  12.103726 STANDARD
1 0 FT933-8397 1  12.101371 STANDARD
1 0 FT924-12743 1  12.098283 STANDARD
1 0 FT941-8777 1  12.093869 STANDARD
1 0 FT921-12770 1  12.09287 STANDARD
1 0 FT932-4390 1  12.092758 STANDARD
1 0 FT942-6245 1  12.09086 STANDARD
1 0 FT924-14188 1  12.090707 STANDARD
1 0 FT944-3808 1  12.090478 STANDARD
1 0 FT924-2494 1  12.08854 STANDARD
1 0 FT933-16183 1  12.087886 STANDARD
1 0 FT933-11592 1  12.08761 STANDARD
1 0 FT924-8824 1  12.087554 STANDARD
1 0 FT924-16052 1  12.087002 STANDARD
1 0 FT942-2287 1  12.086066 STANDARD
1 0 FT921-10361 1  12.085152 STANDARD
1 0 FT943-51 1  12.084751 STANDARD
1 0 FT922-2092 1  12.083404 STANDARD
1 0 FT933-7311 1  12.082082 STANDARD
1 0 FT944-13220 1  12.08149 STANDARD
1 0 FT934-9439 1  12.0813875 STANDARD
1 0 FT924-12649 1  12.080414 STANDARD
1 0 FT921-11503 1  12.077962 STANDARD
1 0 FT933-12821 1  12.077488 STANDARD
1 0 FT933-13470 1  12.076019 STANDARD
1 0 FT924-6844 1  12.075403 STANDARD
1 0 FT924-9660 1  12.073931 STANDARD
1 0 FT944-439 1  12.071054 STANDARD
1 0 FT931-1828 1  12.070986 STANDARD
1 0 FT924-4001 1  12.069327 STANDARD
1 0 FT922-7612 1  12.066816 STANDARD
1 0 FT943-14791 1  12.061681 STANDARD
1 0 FT921-12781 1  12.061314 STANDARD
1 0 FT933-2791 1  12.0608225 STANDARD
1 0 FT933-11348 1  12.058279 STANDARD
1 0 FT932-14124 1  12.05709 STANDARD
1 0 FT932-2634 1  12.054334 STANDARD
1 0 FT933-16130 1  12.051414 STANDARD
1 0 FT933-13764 1  12.049197 STANDARD
1 0 FT941-2754 1  12.045657 STANDARD
1 0 FT924-13982 1  12.042673 STANDARD
1 0 FT931-13890 1  12.041443 STANDARD
1 0 FT941-4933 1  12.039876 STANDARD
1 0 FT943-4566 1  12.039322 STANDARD
1 0 FT942-16439 1  12.038684 STANDARD
1 0 FT941-6466 1  12.037779 STANDARD
1 0 FT941-7560 1  12.037409 STANDARD
1 0 FT944-5278 1  12.035651 STANDARD
1 0 FT931-16877 1  12.034674 STANDARD
1 0 FT944-5782 1  12.033261 STANDARD
1 0 FT921-8966 1  12.031213 STANDARD
1 0 FT933-436 1  12.030768 STANDARD
1 0 FT923-6505 1  12.029818 STANDARD
1 0 FT931-16179 1  12.025919 STANDARD
1 0 FT943-8476 1  12.02429 STANDARD
1 0 FT941-2324 1  12.02195 STANDARD
1 0 FT932-7225 1  12.019896 STANDARD
1 0 FT934-1267 1  12.019883 STANDARD
1 0 FT931-11411 1  12.0190935 STANDARD
1 0 FT924-7558 1  12.015823 STANDARD
1 0 FT921-6780 1  12.014539 STANDARD
1 0 FT944-7520 1  12.013939 STANDARD
1 0 FT933-6680 1  12.012561 STANDARD
1 0 FT931-4399 1  12.01183 STANDARD
1 0 FT922-10588 1  12.008428 STANDARD
1 0 FT944-10919 1  12.007649 STANDARD
1 0 FT944-1806 1  12.007467 STANDARD
1 0 FT944-2215 1  12.007467 STANDARD
1 0 FT921-1433 1  12.007276 STANDARD
1 0 FT924-10035 1  12.000065 STANDARD
1 0 FT911-2435 1  11.999896 STANDARD
1 0 FT944-13600 1  11.999442 STANDARD
1 0 FT942-13941 1  11.998632 STANDARD
1 0 FT911-2621 1  11.99799 STANDARD
1 0 FT943-1187 1  11.994606 STANDARD
1 0 FT942-9566 1  11.992159 STANDARD
1 0 FT924-5413 1  11.991228 STANDARD
1 0 FT933-1225 1  11.9846 STANDARD
1 0 FT923-8850 1  11.983758 STANDARD
1 0 FT944-7118 1  11.980633 STANDARD
1 0 FT942-1540 1  11.979602 STANDARD
1 0 FT924-3716 1  11.978943 STANDARD
1 0 FT923-15715 1  11.974279 STANDARD
1 0 FT922-12913 1  11.970035 STANDARD
1 0 FT944-11094 1  11.96661 STANDARD
1 0 FT931-8697 1  11.96538 STANDARD
1 0 FT942-14766 1  11.96448 STANDARD
1 0 FT922-5070 1  11.963516 STANDARD
1 0 FT922-5762 1  11.960942 STANDARD
1 0 FT931-595 1  11.955454 STANDARD
1 0 FT944-11326 1  11.955066 STANDARD
1 0 FT921-9473 1  11.954654 STANDARD
1 0 FT941-4517 1  11.951896 STANDARD
1 0 FT932-7432 1  11.947244 STANDARD
2 0 FT933-5693 1  40.35268 STANDARD
2 0 FT923-7735 1  39.740814 STANDARD
2 0 FT921-11140 1  33.447403 STANDARD
2 0 FT933-16361 1  33.30052 STANDARD
2 0 FT942-14534 1  32.583065 STANDARD
2 0 FT943-16710 1  32.243385 STANDARD
2 0 FT944-17394 1  31.784407 STANDARD
2 0 FT922-9447 1  31.747782 STANDARD
2 0 FT934-2039 1  31.629831 STANDARD
2 0 FT931-9496 1  31.109228 STANDARD
2 0 FT934-1290 1  30.538244 STANDARD
2 0 FT932-13552 1  30.276815 STANDARD
2 0 FT944-12908 1  30.114471 STANDARD
2 0 FT924-6735 1  29.525654 STANDARD
2 0 FT921-10261 1  29.235157 STANDARD
2 0 FT922-7420 1  28.55978 STANDARD
2 0 FT923-10017 1  27.272303 STANDARD
2 0 FT922-715 1  26.593033 STANDARD
2 0 FT944-9617 1  26.397804 STANDARD
2 0 FT934-15223 1  26.228073 STANDARD
2 0 FT923-12060 1  25.89859 STANDARD
2 0 FT934-3651 1  25.7542 STANDARD
2 0 FT921-8525 1  25.300173 STANDARD
2 0 FT944-9860 1  24.97201 STANDARD
2 0 FT943-11853 1  24.640432 STANDARD
2 0 FT922-7187 1  24.498093 STANDARD
2 0 FT943-4589 1  24.211075 STANDARD
2 0 FT932-16066 1  24.015293 STANDARD
2 0 FT941-11093 1  23.995667 STANDARD
2 0 FT942-10938 1  23.96938 STANDARD
2 0 FT924-15660 1  23.800114 STANDARD
2 0 FT933-11998 1  22.886087 STANDARD
2 0 FT933-13787 1  22.717201 STANDARD
2 0 FT922-227 1  22.703749 STANDARD
2 0 FT931-10925 1  22.624454 STANDARD
2 0 FT942-10818 1  22.058645 STANDARD
2 0 FT911-755 1  22.013653 STANDARD
2 0 FT941-15246 1  21.94262 STANDARD
2 0 FT924-1947 1  21.654371 STANDARD
2 0 FT932-12233 1  21.649712 STANDARD
2 0 FT942-17527 1  21.641237 STANDARD
2 0 FT931-14388 1  21.280718 STANDARD
2 0 FT942-3637 1  20.98897 STANDARD
2 0 FT943-5717 1  20.690567 STANDARD
2 0 FT942-10102 1  20.61751 STANDARD
2 0 FT931-15823 1  20.52965 STANDARD
2 0 FT922-12245 1  20.458498 STANDARD
2 0 FT943-12100 1  20.358438 STANDARD
2 0 FT933-16948 1  20.275623 STANDARD
2 0 FT932-15011 1  20.15529 STANDARD
2 0 FT941-3180 1  20.1368 STANDARD
2 0 FT944-6606 1  19.89432 STANDARD
2 0 FT933-10205 1  19.886414 STANDARD
2 0 FT922-13064 1  19.884443 STANDARD
2 0 FT933-6933 1  19.850418 STANDARD
2 0 FT934-820 1  19.778502 STANDARD
2 0 FT944-3281 1  19.701723 STANDARD
2 0 FT941-429 1  19.656973 STANDARD
2 0 FT922-7483 1  19.57889 STANDARD
2 0 FT934-14901 1  19.528547 STANDARD
2 0 FT924-13144 1  19.514215 STANDARD
2 0 FT942-13968 1  19.457895 STANDARD
2 0 FT922-5877 1  19.419392 STANDARD
2 0 FT942-13969 1  19.402117 STANDARD
2 0 FT933-6719 1  19.338234 STANDARD
2 0 FT923-2987 1  19.20767 STANDARD
2 0 FT911-3356 1  19.180502 STANDARD
2 0 FT941-13064 1  19.173012 STANDARD
2 0 FT941-5341 1  19.118454 STANDARD
2 0 FT923-14971 1  19.075891 STANDARD
2 0 FT921-8299 1  19.062336 STANDARD
2 0 FT932-7262 1  19.023909 STANDARD
2 0 FT921-1317 1  18.98839 STANDARD
2 0 FT933-7438 1  18.988226 STANDARD
2 0 FT933-10313 1  18.979136 STANDARD
2 0 FT933-2692 1  18.918633 STANDARD
2 0 FT943-455 1  18.608175 STANDARD
2 0 FT924-2792 1  18.510876 STANDARD
2 0 FT933-1589 1  18.501448 STANDARD
2 0 FT932-13990 1  18.49329 STANDARD
2 0 FT923-7392 1  18.408123 STANDARD
2 0 FT924-15322 1  18.388002 STANDARD
2 0 FT931-1831 1  18.289577 STANDARD
2 0 FT934-12369 1  18.25065 STANDARD
2 0 FT922-884 1  18.231503 STANDARD
2 0 FT934-12831 1  18.145332 STANDARD
2 0 FT931-2736 1  18.119621 STANDARD
2 0 FT933-470 1  18.114828 STANDARD
2 0 FT924-14004 1  18.066021 STANDARD
2 0 FT941-10282 1  18.012974 STANDARD
2 0 FT944-15290 1  17.976782 STANDARD
2 0 FT931-5795 1  17.864574 STANDARD
2 0 FT923-7988 1  17.860859 STANDARD
2 0 FT931-7866 1  17.76918 STANDARD
2 0 FT923-5386 1  17.759605 STANDARD
2 0 FT924-2793 1  17.707611 STANDARD
2 0 FT943-11541 1  17.637688 STANDARD
2 0 FT922-11695 1  17.633432 STANDARD
2 0 FT922-4944 1  17.619152 STANDARD
2 0 FT923-10335 1  17.614254 STANDARD
2 0 FT944-3521 1  17.613403 STANDARD
2 0 FT922-5762 1  17.547 STANDARD
2 0 FT924-8554 1  17.54349 STANDARD
2 0 FT932-3748 1  17.532469 STANDARD
2 0 FT911-804 1  17.521116 STANDARD
2 0 FT942-8138 1  17.521032 STANDARD
2 0 FT922-5484 1  17.491945 STANDARD
2 0 FT934-17362 1  17.48382 STANDARD
2 0 FT943-4555 1  17.456135 STANDARD
2 0 FT943-13937 1  17.41751 STANDARD
2 0 FT932-13993 1  17.41657 STANDARD
2 0 FT933-13087 1  17.400545 STANDARD
2 0 FT924-14676 1  17.381348 STANDARD
2 0 FT942-12479 1  17.298334 STANDARD
2 0 FT944-6607 1  17.267374 STANDARD
2 0 FT932-9833 1  17.261015 STANDARD
2 0 FT942-2374 1  17.260908 STANDARD
2 0 FT942-2017 1  17.213589 STANDARD
2 0 FT931-13342 1  17.200958 STANDARD
2 0 FT923-11350 1  17.177425 STANDARD
2 0 FT921-1598 1  17.161785 STANDARD
2 0 FT924-15999 1  17.132954 STANDARD
2 0 FT941-5333 1  17.072884 STANDARD
2 0 FT921-996 1  17.049547 STANDARD
2 0 FT924-10752 1  17.015764 STANDARD
2 0 FT944-10548 1  16.992899 STANDARD
2 0 FT922-5023 1  16.986284 STANDARD
2 0 FT944-4236 1  16.950361 STANDARD
2 0 FT921-15851 1  16.942709 STANDARD
2 0 FT923-2298 1  16.934555 STANDARD
2 0 FT942-9889 1  16.909506 STANDARD
2 0 FT923-2547 1  16.905643 STANDARD
2 0 FT923-1938 1  16.858624 STANDARD
2 0 FT941-9446 1  16.851278 STANDARD
2 0 FT933-14239 1  16.824844 STANDARD
2 0 FT944-8579 1  16.821312 STANDARD
2 0 FT931-11105 1  16.784168 STANDARD
2 0 FT924-5815 1  16.73427 STANDARD
2 0 FT921-12233 1  16.729055 STANDARD
2 0 FT944-18519 1  16.656485 STANDARD
2 0 FT944-9607 1  16.653032 STANDARD
2 0 FT924-16133 1  16.644617 STANDARD
2 0 FT933-14750 1  16.628845 STANDARD
2 0 FT911-200 1  16.618572 STANDARD
2 0 FT933-566 1  16.607891 STANDARD
2 0 FT923-6627 1  16.606472 STANDARD
2 0 FT943-12732 1  16.595152 STANDARD
2 0 FT932-531 1  16.576761 STANDARD
2 0 FT923-4957 1  16.55281 STANDARD
2 0 FT944-8756 1  16.546946 STANDARD
2 0 FT944-4199 1  16.538704 STANDARD
2 0 FT944-4455 1  16.538704 STANDARD
2 0 FT934-11514 1  16.524977 STANDARD
2 0 FT934-16499 1  16.524647 STANDARD
2 0 FT942-7603 1  16.502815 STANDARD
2 0 FT932-7800 1  16.496103 STANDARD
2 0 FT943-9632 1  16.466328 STANDARD
2 0 FT922-4552 1  16.404005 STANDARD
2 0 FT923-5760 1  16.399054 STANDARD
2 0 FT932-8880 1  16.367147 STANDARD
2 0 FT921-10456 1  16.361984 STANDARD
2 0 FT941-14221 1  16.3573 STANDARD
2 0 FT941-838 1  16.356462 STANDARD
2 0 FT922-5104 1  16.318731 STANDARD
2 0 FT934-7870 1  16.296234 STANDARD
